,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
4189,DNS Changer - BEST (Gprs/Edge/3G/H/H+/4G),TOOLS,4.3,0.123,1.9,5000.0,Free,0.0,Everyone,Tools,"September 30, 2017",1.2,4.0 and up
4190,H*nest Meditation,LIFESTYLE,4.9,0.145,48.0,5000.0,Paid,1.99,Mature 17+,Lifestyle,"April 7, 2016",1.0,4.0.3 and up
4191,Car Driving Simulator Drift,GAME,4.4,19.816,57.0,1000000.0,Free,0.0,Everyone,Racing,"November 3, 2017",1.8.1,4.4 and up
4197,most expensive app (H),FAMILY,4.3,0.006,1.5,100.0,Paid,399.99,Everyone,Entertainment,"July 16, 2018",1.0,7.0 and up
4199,Elkhart County 4-H Fair,FAMILY,3.9,0.038,42.0,5000.0,Free,0.0,Everyone,Entertainment,"April 6, 2018",5055.524.5,4.1 and up
4203,The World Ends With You,GAME,4.6,4.108,13.0,10000.0,Paid,17.99,Everyone 10+,Arcade,"December 14, 2015",1.0.4,4.0 and up
4204,MJX H,FAMILY,3.7,0.126,13.0,10000.0,Free,0.0,Everyone,Entertainment,"August 22, 2017",1.0-build20170819,4.1 and up
4207,RC City Police Heavy Traffic Racer,GAME,4.4,3.25,27.0,1000000.0,Free,0.0,Everyone,Racing,"July 19, 2018",1.2,4.0 and up
4209,Ohio State Fair 4-H,FAMILY,3.0,0.004,19.0,1000.0,Free,0.0,Everyone,Entertainment,"February 7, 2018",3.0.1,4.1 and up
4210,Larry H Miller Automotive,PRODUCTIVITY,3.1,0.067,8.3,10000.0,Free,0.0,Everyone,Productivity,"July 18, 2018",3.5.3,4.0.3 and up
4212,Add-On: Alcatel (h),PRODUCTIVITY,4.5,0.107,1.2,50000.0,Free,0.0,Everyone,Productivity,"May 19, 2015",10.0.3148,4.0 and up
4213,My Android Device S/W & H/W,FAMILY,4.5,0.681,2.8,50000.0,Free,0.0,Everyone,Education,"November 20, 2015",1.1,2.3 and up
4215,Force LTE Only,TOOLS,4.1,10.426,7.2,1000000.0,Free,0.0,Everyone,Tools,"February 4, 2018",1.4,4.0 and up
4217,Talking Ginger,FAMILY,4.2,1752.017,52.0,100000000.0,Free,0.0,Everyone,Entertainment,"July 5, 2018",2.5.6.11,4.1 and up
4219,Motorbike Driving Simulator 3D,GAME,3.9,178.723,65.0,10000000.0,Free,0.0,Everyone,Racing,"December 25, 2016",4.1,2.3.3 and up
4220,Helix,GAME,3.9,2.454,37.0,500000.0,Free,0.0,Everyone,Arcade,"September 10, 2017",1.2,4.0 and up
4221,Mobile Number Tracker,TOOLS,3.9,19.758,2.9,5000000.0,Free,0.0,Everyone,Tools,"January 14, 2018",2.7,4.0 and up
4223,I am Nose Doctor -Save my Nose,FAMILY,4.2,3.133,34.0,500000.0,Free,0.0,Everyone,Casual,"January 4, 2016",1.1.1,3.1 and up
4225,What was I in my Past Life,FAMILY,3.7,7.453,6.5,1000000.0,Free,0.0,Everyone,Entertainment,"December 19, 2017",2.1,4.1 and up
4226,How Old am I?,FAMILY,2.8,4.635,3.9,1000000.0,Free,0.0,Everyone,Entertainment,"January 1, 2018",1.7,4.0 and up
4228,I Screen Dialer,TOOLS,4.1,8.137,3.9,1000000.0,Free,0.0,Everyone,Tools,"February 25, 2018",1.11,4.3 and up
4229,Where's My Water? Free,FAMILY,4.4,1372.013,57.0,100000000.0,Free,0.0,Everyone,Puzzle;Brain Games,"November 21, 2017",1.10.0,4.1 and up
4231,Solitaire!,GAME,4.7,403.911,23.0,10000000.0,Free,0.0,Everyone,Card,"June 24, 2018",2.277.0,4.1 and up
4233,iGun Pro -The Original Gun App,GAME,4.2,249.308,55.0,10000000.0,Free,0.0,Everyone,Arcade,"September 7, 2017",5.26,2.3 and up
4237,LINE I Love Coffee,FAMILY,4.0,250.257,50.0,5000000.0,Free,0.0,Everyone,Simulation,"November 16, 2016",1.1.5,2.3.3 and up
4243,NinJump,GAME,4.3,421.0,36.0,10000000.0,Free,0.0,Everyone,Arcade,"June 13, 2018",3.1.1,4.1 and up
4246,I LOVE PASTA,FAMILY,4.0,83.875,43.0,1000000.0,Free,0.0,Everyone,Simulation,"September 8, 2017",1.6.1,2.3.3 and up
4247,Talking Tom Cat,FAMILY,4.3,1838.09,,100000000.0,Free,0.0,Everyone 10+,Casual,"July 27, 2018",Varies with device,4.1 and up
4248,Fidget Spinner,GAME,4.2,307.398,9.9,10000000.0,Free,0.0,Everyone,Arcade,"November 30, 2017",1.12.5.1,2.1 and up
4250,J Touch,TOOLS,4.6,2.176,0.953,100000.0,Free,0.0,Everyone,Tools,"August 1, 2018",1.5.1-GP,4.1 and up
4251,J-Novel Club,FAMILY,3.3,0.162,9.0,10000.0,Free,0.0,Teen,Entertainment,"October 22, 2017",1.2,4.1 and up
4254,Cook Baked Lasagna,FAMILY,4.2,56.259,23.0,10000000.0,Free,0.0,Everyone,Casual,"March 14, 2018",4.0,4.0 and up
4255,Tom's Love Letters,FAMILY,4.1,705.805,35.0,50000000.0,Free,0.0,Everyone,Entertainment,"April 30, 2018",2.3.1.8,4.1 and up
4259,J-UFO,FAMILY,3.5,0.339,,100000.0,Free,0.0,Everyone,Entertainment,"December 12, 2017",Varies with device,4.0.3 and up
4260,Cut the Rope GOLD,FAMILY,4.6,61.264,43.0,1000000.0,Paid,0.99,Everyone,Puzzle,"June 19, 2018",3.7.0,4.1 and up
4262,"The Voice, sing and connect",FAMILY,4.1,405.824,,10000000.0,Free,0.0,Everyone,Entertainment,"August 4, 2018",7.1.1,4.2 and up
4266,Harris J Lyrics,FAMILY,4.7,0.036,7.1,1000.0,Free,0.0,Everyone,Entertainment,"March 12, 2018",1.3,4.0.3 and up
4267,Smart TV Remote,TOOLS,3.5,81.747,9.1,10000000.0,Free,0.0,Everyone,Tools,"May 26, 2018",3.8.2,4.1 and up
4268,J.ME Fly,FAMILY,3.9,0.028,98.0,1000.0,Free,0.0,Everyone,Entertainment,"May 31, 2018",0.4.4,4.4 and up
4271,J-Stars Victory VS Guide,GAME,4.1,0.609,13.0,10000.0,Free,0.0,Everyone,Action,"May 14, 2014",1.7,2.2 and up
4272,2048 BTS J Hope KPop Puzzle Game,FAMILY,4.7,0.017,2.4,1000.0,Free,0.0,Everyone,Puzzle,"September 26, 2017",1,2.3.3 and up
4274,J. Cole Albums (2007-2017),FAMILY,4.6,0.007,7.3,1000.0,Free,0.0,Mature 17+,Entertainment,"April 11, 2018",1.3,4.0.3 and up
4285,KIM KARDASHIAN: HOLLYWOOD,GAME,4.3,1017.408,34.0,10000000.0,Free,0.0,Teen,Adventure,"July 16, 2018",9.2.0,4.0 and up
4286,Sight Words Pre-K to Grade-3,FAMILY,4.4,1.185,40.0,100000.0,Free,0.0,Everyone,Educational;Education,"June 17, 2018",1.5.1,4.1 and up
4290,K keyboard - Myanmar,TOOLS,4.8,1.955,14.0,100000.0,Free,0.0,Everyone,Tools,"March 17, 2018",1.0.8,4.1 and up
4291,Zapzapmath: K-6 Math Games,FAMILY,4.3,1.065,61.0,100000.0,Free,0.0,Everyone,Educational;Education,"May 13, 2018",4.1.10,4.1 and up
4293,K.MOJI,FAMILY,4.8,0.016,8.9,500.0,Paid,1.99,Everyone,Entertainment,"May 9, 2017",1.0,4.2 and up
4294,K-Chiing VPN (Free),TOOLS,3.7,0.043,10.0,5000.0,Free,0.0,Mature 17+,Tools,"July 24, 2018",2.1.2,4.1 and up
4295,Preschool All-In-One,FAMILY,4.1,9.019,44.0,1000000.0,Free,0.0,Everyone,Casual;Education,"March 28, 2018",6.6,4.0 and up
4296,OST),FAMILY,3.7,4.444,10.0,500000.0,Free,0.0,Everyone,Entertainment,"July 6, 2018",3.0.12,4.1 and up
4297,Kpop Music Quiz (K-pop Game),FAMILY,4.2,6.418,59.0,100000.0,Free,0.0,Everyone,Casual,"May 8, 2017",1.3,4.1 and up
4298,Radio K - KUOM,FAMILY,4.5,0.039,7.4,1000.0,Free,0.0,Everyone,Entertainment,"March 9, 2018",3.0.57,4.1 and up
4299,Math Games for Pre-K - Grade 4,FAMILY,4.6,0.028,23.0,1000.0,Paid,1.99,Everyone,Education;Education,"January 13, 2014",1.02,2.2 and up
4304,K-Otic Universe,FAMILY,4.9,0.055,40.0,1000.0,Free,0.0,Everyone,Puzzle,"August 3, 2018",108,4.1 and up
4305,Magic Tiles - TWICE Edition (K-Pop),GAME,4.4,2.351,62.0,100000.0,Free,0.0,Everyone,Music,"July 25, 2018",1009001,4.0 and up
4306,CASE K-12 Math English Science,FAMILY,4.6,0.06,2.1,10000.0,Free,0.0,Everyone,Education,"May 1, 2016",1.0,2.2 and up
4309,"Niche: College, K-12, and Neighborhood Search",LIFESTYLE,4.0,0.042,26.0,5000.0,Free,0.0,Everyone,Lifestyle,"July 6, 2018",1.0.1,4.4 and up
4310,"K-Spapp, the K-Space app",FAMILY,4.8,0.039,3.6,1000.0,Free,0.0,Everyone,Education,"February 9, 2017",1.53,4.0.3 and up
4311,"Math Quiz Free: Grades K,1,2,3",FAMILY,4.3,0.159,13.0,10000.0,Free,0.0,Everyone,Education;Education,"February 3, 2015",1.0,4.0 and up
4313,Discovery K!ds Play! Español,FAMILY,4.2,11.263,35.0,1000000.0,Free,0.0,Everyone,Entertainment;Music & Video,"May 3, 2018",2.1.0.2173,4.0.3 and up
4314,Magic Tiles - Blackpink Edition (K-Pop),GAME,4.6,4.304,71.0,100000.0,Free,0.0,Everyone,Music,"June 20, 2018",1900001,4.0 and up
4316,Anna.K Tarot,FAMILY,4.8,0.017,23.0,100.0,Paid,3.99,Mature 17+,Entertainment,"January 16, 2017",1.4.4,4.0.3 and up
4317,K-pop Music,FAMILY,4.0,0.369,3.5,10000.0,Free,0.0,Everyone,Entertainment,"January 11, 2017",2.0.0,2.3 and up
4318,Daily K-Talk,FAMILY,4.3,0.264,60.0,10000.0,Free,0.0,Everyone,Education,"July 31, 2018",v8[1.0.10],2.3 and up
4319,Korean Dungeon: K-Word 1000,GAME,4.7,0.703,40.0,10000.0,Free,0.0,Everyone 10+,Word,"November 17, 2017",1.0.4,4.1 and up
4323,Lep's World 🍀,GAME,4.3,696.019,,50000000.0,Free,0.0,Everyone 10+,Arcade,"May 26, 2018",3.0.6,4.1 and up
4324,"L.POINT - 엘포인트 [ 포인트, 멤버십, 적립, 사용, 모바일 카드, 쿠폰, 롯데]",LIFESTYLE,4.0,45.224,49.0,5000000.0,Free,0.0,Everyone,Lifestyle,"August 1, 2018",6.5.1,4.1 and up
4326,SpongeBob Diner Dash,FAMILY,4.0,576.21,48.0,50000000.0,Free,0.0,Everyone,Casual,"August 22, 2013",3.25.3,2.3.3 and up
4329,Tom Loves Angela,FAMILY,4.1,1111.915,50.0,100000000.0,Free,0.0,Everyone,Entertainment,"April 30, 2018",2.2.1.3,4.1 and up
4330,EXO-L,FAMILY,4.6,67.41,0.865,1000000.0,Free,0.0,Everyone,Entertainment,"November 2, 2017",1.0.9,2.2 and up
4331,Lie Detector,FAMILY,3.1,0.306,2.9,50000.0,Free,0.0,Everyone,Simulation,"April 4, 2017",1.2.1,4.0.3 and up
4333,Calculator L,PRODUCTIVITY,4.5,2.965,2.4,100000.0,Free,0.0,Everyone,Productivity,"May 10, 2015",1.1.3,4.3 and up
4334,My Teacher - Classroom Play,FAMILY,4.0,155.276,61.0,10000000.0,Free,0.0,Everyone,Role Playing;Pretend Play,"June 18, 2018",1.1.0,4.1 and up
4335,Emoji Android L Keyboard,PRODUCTIVITY,4.0,11.535,6.8,1000000.0,Free,0.0,Everyone,Productivity,"December 7, 2017",1.42,4.0 and up
4337,French to English Speaking - Apprendre l' Anglais,FAMILY,4.5,4.251,13.0,1000000.0,Free,0.0,Everyone,Education,"April 27, 2018",23.0,4.0.3 and up
4338,Ant Smasher by Best Cool & Fun Games,GAME,4.2,1185.148,29.0,100000000.0,Free,0.0,Everyone,Arcade,"August 1, 2018",9.55,4.0.3 and up
4339,Cheating Tom 3 - Genius School,GAME,4.3,90.415,84.0,10000000.0,Free,0.0,Everyone,Arcade,"July 24, 2018",1.0.20,4.1 and up
4343,Lie Detector Test Prank,FAMILY,4.4,222.308,6.9,10000000.0,Free,0.0,Everyone,Entertainment,"July 31, 2018",3.0.2,4.4 and up
4344,Xbox,FAMILY,4.3,556.659,46.0,10000000.0,Free,0.0,Everyone,Entertainment,"June 20, 2018",1805.0618.1637,4.1 and up
4345,Je Parle ANGLAIS - Apprendre l’anglais Audio cours,FAMILY,4.4,0.499,27.0,100000.0,Free,0.0,Everyone,Education,"March 13, 2018",2.4,4.0.3 and up
4346,"Mobizen Screen Recorder - Record, Capture, Edit",PRODUCTIVITY,4.3,1827.212,,50000000.0,Free,0.0,Everyone,Productivity,"July 31, 2018",3.6.0.28,4.4 and up
4349,MapleStory M,FAMILY,3.5,31.538,82.0,1000000.0,Free,0.0,Everyone 10+,Role Playing,"July 24, 2018",1.2703.273,4.4 and up
4354,M3-X5-X6-M-İ3-İ8 RACİNG 2018,GAME,4.4,0.596,44.0,100000.0,Free,0.0,Everyone,Arcade,"February 12, 2017","1,01",4.0 and up
4356,360-M Flight,TOOLS,3.9,0.084,24.0,10000.0,Free,0.0,Everyone,Tools,"December 14, 2017",2.18,4.0.3 and up
4357,M-acceleration 3D Car Racing,GAME,3.9,1.202,34.0,100000.0,Free,0.0,Everyone,Racing,"June 28, 2018",1.6,4.1 and up
4358,m>notes notepad,PRODUCTIVITY,4.3,0.184,,1000.0,Paid,2.99,Everyone,Productivity,"December 4, 2015",Varies with device,2.2 and up
4360,Super Hero M Craft Run,GAME,3.7,0.303,38.0,100000.0,Free,0.0,Everyone,Arcade,"July 12, 2017",1.6,4.0.3 and up
4362,💎 I'm rich,LIFESTYLE,3.8,0.718,26.0,10000.0,Paid,399.99,Everyone,Lifestyle,"March 11, 2018",1.0.0,4.4 and up
4363,Don't Hug Me I'm So Scared,GAME,3.5,0.901,63.0,50000.0,Free,0.0,Everyone,Adventure,"June 8, 2018",1.8.5,2.3 and up
4364,GTS-M,TOOLS,4.2,0.038,0.251,5000.0,Free,0.0,Everyone,Tools,"January 26, 2017",1.4,1.6 and up
4367,I'm Rich - Trump Edition,LIFESTYLE,3.6,0.275,7.3,10000.0,Paid,400.0,Everyone,Lifestyle,"May 3, 2018",1.0.1,4.1 and up
4370,M Notifier for M Launcher,TOOLS,4.2,2.803,1.4,100000.0,Free,0.0,Everyone,Tools,"February 15, 2017",1.0.4,4.0 and up
4372,m-Faisaa,FINANCE,4.0,0.142,6.2,10000.0,Free,0.0,Everyone,Finance,"July 13, 2018",5.3,4.0.3 and up
4377,Rope'n'Fly 4,GAME,4.1,234.606,59.0,10000000.0,Free,0.0,Everyone,Action,"January 29, 2018",3.1,2.3 and up
4379,Dino in City-Dinosaur N Police,FAMILY,3.7,10.035,30.0,1000000.0,Free,0.0,Teen,Simulation,"May 23, 2018",2.07,4.1 and up
4381,Cops N Robbers - FPS Mini Game,GAME,4.2,156.862,64.0,5000000.0,Free,0.0,Everyone 10+,Action,"July 31, 2018",7.0.4,4.1 and up
4382,Cops N Robbers 2,GAME,4.1,63.68,46.0,1000000.0,Free,0.0,Everyone 10+,Adventure,"June 2, 2018",2.2.2,4.1 and up
4383,Hands 'n Guns Simulator,FAMILY,3.9,19.727,76.0,1000000.0,Free,0.0,Teen,Simulation,"July 3, 2018",32,4.1 and up
4384,Hide N Seek : Mini Game,GAME,3.8,4.719,54.0,500000.0,Free,0.0,Everyone,Action,"July 8, 2018",5.1.3,4.1 and up
4386,Cook'n Recipe App,LIFESTYLE,3.4,0.552,22.0,10000.0,Free,0.0,Everyone,Lifestyle,"August 2, 2018",3.0.4,4.4 and up
4387,Rope'n'Fly 3 - Dusk Till Dawn,GAME,4.0,166.033,23.0,10000000.0,Free,0.0,Everyone 10+,Arcade,"January 31, 2018",3.6,2.3 and up
4388,Tap N Pay,PRODUCTIVITY,4.4,0.253,8.2,10000.0,Free,0.0,Everyone,Productivity,"July 31, 2018",0.1.22,4.1 and up
4390,Drag'n'Boom,GAME,4.8,133.18,54.0,1000000.0,Free,0.0,Everyone 10+,Arcade,"January 12, 2018",1.1.1,4.4 and up
4391,Traps n' Gemstones,GAME,4.5,0.413,9.1,1000.0,Paid,4.99,Everyone,Adventure,"May 17, 2017",1.04,4.0.3 and up
4393,Dual N-Back - Brain game,FAMILY,4.3,0.817,28.0,100000.0,Free,0.0,Everyone,Educational,"May 25, 2018",2.4.2,4.1 and up
4394,N Files - File Manager & Explorer,PRODUCTIVITY,4.3,0.369,11.0,10000.0,Free,0.0,Everyone,Productivity,"July 18, 2018",2.9.5,4.1 and up
4395,Guns'n'Glory Zombies Premium,FAMILY,4.1,0.313,34.0,5000.0,Paid,2.99,Everyone 10+,Strategy,"July 15, 2016",1.1.5,2.3.3 and up
4396,Cops N Robbers,GAME,4.0,37.789,58.0,1000000.0,Free,0.0,Teen,Adventure,"June 6, 2018",1.5.2,4.1 and up
4397,Guns'n'Glory Premium,FAMILY,4.4,3.57,21.0,100000.0,Paid,2.99,Everyone 10+,Strategy,"September 22, 2017",1.8.1,2.3.3 and up
4398,Madagascar Surf n' Slides Free,FAMILY,3.8,48.929,45.0,5000000.0,Free,0.0,Everyone,Educational;Education,"September 8, 2017",1.5.0,4.0 and up
4399,Guns'n'Glory,FAMILY,4.4,89.947,22.0,5000000.0,Free,0.0,Everyone 10+,Strategy,"February 9, 2018",1.8.2,4.0 and up
4400,Ghosts'n Goblins MOBILE,GAME,3.8,0.466,28.0,10000.0,Paid,0.99,Everyone,Arcade,"March 28, 2017",1.00.02,4.1 and up
4401,Mopar Drag N Brag,GAME,4.2,30.63,17.0,1000000.0,Free,0.0,Everyone,Racing,"May 25, 2015",1.2.5,4.1 and up
4402,Read Unlimitedly! Kids'n Books,FAMILY,3.8,7.462,31.0,1000000.0,Free,0.0,Everyone,Education;Music & Video,"February 16, 2018",3.42,2.3 and up
4404,Fantastic Chefs: Match 'n Cook,FAMILY,4.7,8.6,91.0,500000.0,Free,0.0,Everyone,Puzzle,"July 27, 2018",1.0.7,4.0.3 and up
4405,Guns'n'Glory Heroes Premium,FAMILY,4.3,0.923,,10000.0,Paid,2.99,Everyone,Strategy,"November 9, 2017",Varies with device,Varies with device
4406,Eat'n Park,LIFESTYLE,3.5,0.292,20.0,50000.0,Free,0.0,Everyone,Lifestyle,"December 18, 2017",3.1.3,4.0 and up
4407,Draw N Guess Multiplayer,GAME,3.9,29.505,69.0,1000000.0,Free,0.0,Everyone,Word,"April 4, 2018",3.0.11,4.0.3 and up
4408,Car Parking Crane N Drifting,FAMILY,4.2,0.106,71.0,50000.0,Free,0.0,Everyone,Simulation,"February 26, 2018",1.8,4.0.3 and up
4409,Lock 'n' Roll Pro - Ad Free,GAME,4.6,0.169,13.0,1000.0,Paid,0.99,Everyone,Card,"July 1, 2015",4.0.5,2.3.3 and up
4410,Rock N' Cash Casino Slots -Free Vegas Slot Games,GAME,4.7,6.187,33.0,100000.0,Free,0.0,Teen,Casino,"July 27, 2018",1.15.0,4.0.3 and up
4411,Age of Conquest: N. America,FAMILY,4.5,0.659,3.3,10000.0,Paid,3.99,Everyone,Strategy,"August 4, 2018",1.0.28,1.5 and up
4413,Guns'n'Glory WW2 Premium,FAMILY,4.5,4.656,20.0,100000.0,Paid,2.99,Everyone 10+,Strategy,"December 8, 2017",1.4.11,4.0 and up
4414,Rock n Roll Music Quiz Game,GAME,3.7,0.08,7.6,10000.0,Free,0.0,Everyone,Trivia,"June 6, 2018",5.0,4.1 and up
4415,Cook 'n Learn Smart Kitchen,FAMILY,3.5,0.205,62.0,50000.0,Free,0.0,Everyone,Educational;Education,"March 6, 2017",1.0.4,4.3 and up
4416,Jump'N'Shoot Attack,GAME,4.1,0.155,32.0,1000.0,Paid,2.49,Everyone,Arcade,"May 26, 2018",1.2,4.1 and up
4417,Ghouls'n Ghosts MOBILE,GAME,3.9,0.168,49.0,5000.0,Paid,1.99,Everyone 10+,Arcade,"May 18, 2017",1.00.00,4.1 and up
4418,N-Back,FAMILY,4.1,0.413,0.93,10000.0,Free,0.0,Everyone,Puzzle,"February 15, 2016",1.6,2.1 and up
4419,Oddworld: New 'n' Tasty,GAME,4.6,1.475,34.0,10000.0,Paid,4.99,Teen,Action,"January 2, 2018",1.0.4,5.0 and up
4420,Knights N Squires,FAMILY,4.4,148.826,49.0,1000000.0,Free,0.0,Teen,Role Playing,"June 19, 2018",1.4.9,4.0.3 and up
4424,The Noise-O-Meter,FAMILY,4.0,1.699,72.0,100000.0,Free,0.0,Everyone,Entertainment;Music & Video,"October 18, 2017",1.0.1.24,4.3 and up
4425,O Launcher 8.0 for Android™ O Oreo Launcher,TOOLS,4.4,11.393,8.7,1000000.0,Free,0.0,Everyone,Tools,"July 27, 2018",3.9,4.4 and up
4427,Stand O’Food® (Full),FAMILY,4.4,0.925,40.0,10000.0,Paid,1.99,Everyone,Casual,"December 26, 2014",1.5,2.3.3 and up
4428,WiFi-o-Matic,PRODUCTIVITY,4.0,0.736,6.8,50000.0,Free,0.0,Everyone,Productivity,"February 1, 2018",1.80.03,4.1 and up
4429,Detect-O-Gromit (D.O.G 2),FAMILY,3.8,0.045,47.0,10000.0,Paid,2.49,Everyone,Entertainment,"July 16, 2018",1.2,5.0 and up
4432,AC Remote for O General - NOW FREE,TOOLS,3.7,0.274,26.0,50000.0,Free,0.0,Everyone,Tools,"July 30, 2018",6.1.7,4.2 and up
4434,Drink-O-Tron The Drinking Game,GAME,4.1,0.14,45.0,50000.0,Free,0.0,Mature 17+,Card,"May 31, 2017",1.64,4.0.3 and up
4435,Multiling O Keyboard + emoji,PRODUCTIVITY,4.3,30.443,0.54,1000000.0,Free,0.0,Everyone,Productivity,"July 3, 2018",0.54.2.4,2.1 and up
4439,Band O'Clock,LIFESTYLE,3.8,1.14,0.746,100000.0,Free,0.0,Everyone,Lifestyle,"December 3, 2011",0.11,2.1 and up
4440,O Launcher,TOOLS,4.3,2.059,10.0,100000.0,Free,0.0,Everyone,Tools,"May 22, 2018",1.1.4,5.0 and up
4444,O-Level Past Papers & Solution (up to 2017),FAMILY,3.8,0.589,28.0,100000.0,Free,0.0,Everyone,Education,"June 11, 2018",8.3.2,4.0.3 and up
4445,"O Multiple - App Cloner, Duals APP, tarallel",TOOLS,3.9,0.145,5.2,50000.0,Free,0.0,Everyone,Tools,"May 15, 2018",1.0.7,4.1 and up
4446,The Maze Runner,GAME,4.0,428.268,22.0,10000000.0,Free,0.0,Everyone,Action,"September 14, 2015",1.8.1,2.3 and up
4454,"Super P Launcher for Android P 9.0 launcher, theme",TOOLS,4.4,2.026,7.5,100000.0,Free,0.0,Everyone,Tools,"August 3, 2018",1.9,4.0 and up
4461,Volume Slider Like Android P Volume Control,TOOLS,4.1,1.129,1.7,10000.0,Paid,0.99,Everyone,Tools,"June 30, 2018",1.28,4.1 and up
4476,P9 Launcher - Android™ 9.0 P Launcher Style,TOOLS,4.3,1.162,7.3,100000.0,Free,0.0,Everyone,Tools,"July 6, 2018",2.5,4.1 and up
4484,Android P Rotation,TOOLS,4.5,0.502,2.0,10000.0,Free,0.0,Everyone,Tools,"July 15, 2018",1.5,5.0 and up
4486,Android P Launcher 9.0 launcher,TOOLS,4.0,0.164,2.3,10000.0,Free,0.0,Everyone,Tools,"April 23, 2018",1.0,5.0 and up
4492,The Q - Live Trivia Game Network,GAME,2.7,1.486,14.0,100000.0,Free,0.0,Everyone,Trivia,"August 3, 2018",2.4.8,5.0 and up
4493,Fossil Q,LIFESTYLE,2.9,6.627,18.0,500000.0,Free,0.0,Everyone,Lifestyle,"August 1, 2018",2.5.1,4.4 and up
4494,Q,FAMILY,4.2,69.126,60.0,1000000.0,Free,0.0,Everyone,Puzzle,"April 19, 2018",2.9.4,4.0 and up
4495,"Official QR Code® Reader ""Q""",PRODUCTIVITY,4.4,3.031,,500000.0,Free,0.0,Everyone,Productivity,"March 23, 2018",Varies with device,Varies with device
4498,Fossil Q Legacy,LIFESTYLE,2.6,0.68,60.0,50000.0,Free,0.0,Everyone,Lifestyle,"September 19, 2017",1.0.1,4.4 and up
4499,Offroad Car Q,FAMILY,4.1,24.668,40.0,1000000.0,Free,0.0,Everyone,Simulation,"August 4, 2016",1.0.2,2.3.3 and up
4500,Q*bert: Rebooted,GAME,4.3,13.788,55.0,1000000.0,Free,0.0,Everyone,Arcade,"April 1, 2017",1.1,4.4 and up
4502,Gun Shoot War Q,GAME,4.2,26.893,20.0,1000000.0,Free,0.0,Teen,Arcade,"March 1, 2017",1.0.5,2.3 and up
4503,FaceQ,FAMILY,4.4,591.411,19.0,10000000.0,Free,0.0,Teen,Entertainment,"May 16, 2017",3.4.1,3.0 and up
4505,Q Link Wireless Zone,PRODUCTIVITY,4.0,2.194,17.0,500000.0,Free,0.0,Everyone,Productivity,"March 8, 2018",2.0.4,4.4 and up
4507,Q downloader : download your social media videos,FAMILY,4.1,0.041,4.5,1000.0,Free,0.0,Everyone,Entertainment,"June 21, 2018",1.1.2.1,4.0.3 and up
4508,Q Avatar Pro,FAMILY,4.8,0.004,3.6,100.0,Paid,1.49,Teen,Entertainment,"March 4, 2017",1.3.5,2.3 and up
4510,Q Wunder,FAMILY,3.8,0.156,43.0,10000.0,Free,0.0,Everyone,Education;Education,"June 30, 2018",2.0.13,4.1 and up
4511,Q-See QC View,TOOLS,3.1,0.657,21.0,100000.0,Free,0.0,Everyone,Tools,"January 19, 2018",3.49.0202,4.0.3 and up
4513,Q Remote Control,TOOLS,3.8,4.264,14.0,500000.0,Free,0.0,Everyone,Tools,"July 12, 2014",2.6.1,2.3 and up
4515,DJMAX TECHNIKA Q - Music Game,GAME,4.3,21.107,95.0,100000.0,Free,0.0,Everyone,Music,"July 30, 2018",1.2.1,4.0.3 and up
4516,myQ,TOOLS,3.6,3.642,29.0,100000.0,Free,0.0,Everyone,Tools,"July 23, 2018",3.2.0,4.0.3 and up
4517,QR Code Reader,TOOLS,4.0,495.971,2.7,50000000.0,Free,0.0,Everyone,Tools,"March 16, 2016",2.3,2.3.3 and up
4521,Q-slope,TOOLS,4.5,0.002,3.9,50.0,Paid,1.76,Everyone,Tools,"December 3, 2017",5.0,4.3 and up
4523,Q Mobile Banking,FINANCE,4.7,0.46,12.0,10000.0,Free,0.0,Everyone,Finance,"June 26, 2018",5.9.1.0,5.0 and up
4524,Q Quiz SK,FAMILY,3.9,0.159,39.0,5000.0,Free,0.0,Everyone,Education,"December 8, 2015",2.3,2.3 and up
4526,Q-See QT View,TOOLS,3.6,7.357,19.0,100000.0,Free,0.0,Everyone,Tools,"July 12, 2018",4.4.1,5.0 and up
4528,"DataCamp - Learn R, Python & SQL",FAMILY,4.4,0.944,12.0,100000.0,Free,0.0,Everyone,Education,"August 1, 2018",3.1.0,4.1 and up
4530,Run R Script - Online Statistical Data Analysis,FAMILY,3.9,0.008,6.2,1000.0,Free,0.0,Everyone,Education,"April 4, 2018",1.1 Build 226,2.2 and up
4531,R Programming Language,FAMILY,3.8,0.039,2.9,1000.0,Free,0.0,Everyone,Education,"December 21, 2017",1.0,4.2 and up
4533,R. Physics Puzzle Game,FAMILY,4.2,5.369,60.0,500000.0,Free,0.0,Everyone,Puzzle,"April 19, 2018",1.0.16,4.3 and up
4534,R Instructor,FAMILY,4.1,0.135,4.9,1000.0,Paid,4.84,Everyone,Education,"February 21, 2014",2.03,3.0 and up
4535,GT-R R35 Drift Simulator,FAMILY,4.4,1.852,62.0,100000.0,Free,0.0,Everyone,Simulation,"October 31, 2017",1.0,2.3 and up
4536,Offroad Pickup Truck R,FAMILY,4.4,6.367,96.0,1000000.0,Free,0.0,Everyone,Simulation,"July 14, 2017",1.4,2.3 and up
